slice,kind,n,spearman,mae,baseline_mae
overall,overall,11229,0.3089635634859999,0.368544138305679,0.36465573844013494
under 100,length,3825,0.17958462137670578,0.39676889258503995,0.3241840203492937
100-500,length,5015,0.2416982063379804,0.3829345967501578,0.36306145785973987
500-2000,length,1525,-0.04773385894098135,0.34261678166614495,0.45533684600002133
2000-8000,length,326,-0.03234627445562929,0.21825898466641222,0.39547558655370296
over 8000,length,538,0.23993223683333742,0.19829199098983138,0.39153990069719735
llmrouterbench/arcc,suite,1172,0.04208163209202691,0.1828902164839504,0.3224341102243186
llmrouterbench/arenahard,suite,750,0.00468772273979539,0.23706085038162783,0.26179487144786806
llmrouterbench/arenahard_coding,suite,253,0.004747274296105955,0.2335101007471,0.29555015538475493
llmrouterbench/hle,suite,2658,-0.0013534014101452324,0.43483395543576125,0.49186960558927734
llmrouterbench/simpleqa,suite,4826,0.053152114918293906,0.43863487586466826,0.32929639231826896
llmrouterbench/swe-bench,suite,500,0.19963861083217546,0.20168667882969032,0.39682794778158087
xroutebench/aime_2020_2024,suite,120,0.0017330094847444833,0.4692851220533448,0.5769576180245001
xroutebench/math,suite,950,0.3373009129743026,0.27090840369226676,0.2962983977106681
