strategy,accuracy,cost_usd,cost_per_query,mean_latency_s,models_used,saving_vs_best,accuracy_vs_best,gap_closed,pareto
always-cheapest,0.8401332223147377,0.71440911,0.0005948452206494588,,1,0.9525924835425386,-0.027477102414654397,-0.402439024390243,True
always-best,0.8676103247293921,15.069532500000001,0.012547487510407995,,1,0.0,0.0,0.0,False
oracle,0.9358867610324729,2.43217347,0.002025123621981682,,6,0.8386032566040121,0.06827643630308078,1.0,True
random,0.8376353039134055,12.99292848,0.010818425045795171,,6,0.13780148919682822,-0.029975020815986686,-0.4390243902439025,False
keyword,0.8084929225645295,2.79609737,0.0023281410241465447,,4,0.8144536089623218,-0.05911740216486261,-0.8658536585365851,False
learned@0.30,0.8467943380516236,1.0693895900000001,0.000890415978351374,,6,0.9290363128385037,-0.020815986677768517,-0.30487804878048763,True
learned@0.40,0.861781848459617,2.22765905,0.0018548368442964198,,6,0.8521746411177653,-0.005828476269775118,-0.08536585365853555,True
learned@0.50,0.8742714404662781,3.68433502,0.003067722747710241,,6,0.7555109941200897,0.006661115736885992,0.097560975609757,True
learned@0.60,0.8834304746044963,6.42425736,0.005349090224812656,,6,0.573692325226413,0.01582014987510416,0.23170731707317188,True
learned@0.70,0.880932556203164,9.726131819999999,0.008098361215653622,,6,0.35458304230738424,0.013322231473771873,0.1951219512195124,False
learned@0.80,0.8825978351373855,13.20854604,0.01099795673605329,,6,0.12349331075798142,0.014987510407993399,0.21951219512195205,False
