model,base_rate,auc,mean_predicted
llama-4-maverick,0.6666666666666666,0.8771792731513548,0.592119057584008
qwen3-next-80b-a3b-instruct,0.7181670721816708,0.842015850899179,0.5969509561120929
mistral-7b-instruct-v0.3,0.3653690186536902,0.8350799431231893,0.4435162065033567
rnj-1-instruct,0.4854014598540146,0.8347135240254564,0.4929076478586305
gpt-oss-120b,0.7230332522303325,0.8192921762308576,0.5874901832791475
qwen3-coder-next,0.6768045417680454,0.8162108806767139,0.5731023452884138
gemma-2-9b-it,0.6512570965125709,0.8082582756523502,0.5547319490083696
cogito-v2-1-671b,0.7741281427412814,0.8034379340796172,0.6065865165382368
qwen2.5-7b-instruct-turbo,0.5519059205190592,0.8031630987329651,0.5182022910009314
llama3-70b-instruct,0.6589618815896188,0.7958715814506538,0.5622975869975629
qwen2.5-7b-instruct,0.5616382806163828,0.7930055403974793,0.51975189208817
llama-3.3-70b-instruct-turbo,0.7193836171938361,0.7791860268098613,0.5833201866343196
mixtral-8x7b-instruct-v0.1,0.3775344687753447,0.7780097055108689,0.46440011263339076
gpt-oss-20b,0.6792376317923763,0.7779346000717022,0.563794707264808
mixtral-8x22b-instruct-v0.1,0.6005677210056772,0.77153521595026,0.5366738526986964
mistral-small-3-24b-instruct,0.6926196269261963,0.7709459751719365,0.563681899844987
deepseek-v3.1,0.6914030819140308,0.7560957375886799,0.5605605986487227
llama-3-8b-instruct-lite,0.5036496350364964,0.733632502920653,0.5092307122403982
