strategy,accuracy,cost_usd,cost_per_query,mean_latency_s,models_used,saving_vs_best,accuracy_vs_best,gap_closed,pareto
always-cheapest,0.6862699716081333,0.03626985,1.4707968369829684e-05,3.055786293592863,1,0.9677256356238557,-0.09463313283591324,-0.741332197137208,True
always-best,0.7809031044440465,1.1237974999999998,0.00045571674776966737,2.3693467153284673,1,0.0,0.0,0.0,True
oracle,0.9085559073323558,0.06552522000000001,2.6571459854014602e-05,2.440418896999189,18,0.9416930363343929,0.12765280288830927,1.0,True
random,0.6265509226785466,0.42111312,0.0001707676885644769,2.724212084347121,18,0.62527668908322,-0.15435218176549992,-1.2091562290297022,False
keyword,0.5777982952709362,0.0545937,2.2138564476885645e-05,1.736564476885645,5,0.951420340408303,-0.20310480917311036,-1.5910720687489985,False
learned@0.30,0.705331284091056,0.06731571,2.7297530413625303e-05,2.874177615571776,17,0.940099786660853,-0.07557182035299048,-0.5920106620699319,True
learned@0.40,0.7041024229642241,0.09218798,3.7383609083536094e-05,2.805112733171127,17,0.9179674452025387,-0.07680068147982244,-0.6016372515299938,False
learned@0.50,0.7175114524316477,0.11980372,4.858220600162206e-05,2.62105798864558,18,0.8933938543198396,-0.06339165201239882,-0.4965942821315393,True
learned@0.60,0.7227831474843647,0.16895096,6.851214922952149e-05,2.573253852392538,18,0.8496606728525379,-0.05811995695968186,-0.4552971469849693,True
learned@0.70,0.7390037476465707,0.22908931,9.289915247364152e-05,2.5039562043795622,18,0.7961471617439975,-0.041899356797475806,-0.32822903884167703,True
learned@0.80,0.7483305927398392,0.33454149,0.00013566159367396595,2.5889355231143556,18,0.7023115908337578,-0.032572511704207385,-0.25516487665928445,True
